"","title","publishedAt","site"
"1","What 'Daily Show' host Trevor Noah means by 'the 5:30 curse'","2018-05-13T21:01:11Z","cnn"
"2","Opinion: Oliver North and the NRA deserve each other","2018-05-13T20:49:14Z","cnn"
"3","Apple CEO appears to take jab at Facebook","2018-05-13T20:12:23Z","cnn"
"4","Lawmaker warns against same company","2018-05-13T19:37:54Z","cnn"
"5","'Harry & Meghan' gives 'A Royal Romance' requisite Lifetime movie","2018-05-13T19:25:10Z","cnn"
"6","Tim Cook: Don't accept the status quo","2018-05-13T19:01:52Z","cnn"
"7","How Iran could turn our friends against us","2018-05-13T18:43:16Z","cnn"
"8","US to North Korea: Lose the nukes, gain economic prosperity","2018-05-13T18:36:04Z","cnn"
"9","The Parkland shooter's brother says he wants to start an anti-bullying campaign","2018-05-13T18:07:55Z","cnn"
"10","Single, childless and nearing 40, I saw one real option","2018-05-13T17:29:10Z","cnn"
"11","It's no 'Player's Ball,' but Andre 3000 is back with new Mother's Day music","2018-05-13T17:28:18Z","cnn"
"12","Aide told Meghan McCain she would apologize publicly for morbid joke","2018-05-13T17:24:16Z","cnn"
"13","6 of the best hotels in Istanbul","2018-05-13T17:18:25Z","cnn"
"14","Don't worry about travel restrictions for players if we host the 2026 World Cup, US says","2018-05-13T17:04:01Z","cnn"
"15","'Avengers: Infinity War' hits China, becomes fifth biggest film ever","2018-05-13T16:50:57Z","cnn"
"16","'Avengers: Infinity War' hits China, becomes fifth biggest film ever","2018-05-13T16:50:57Z","cnn"
"17","Three former US prisoners in North Korea leave Walter Reed Medical Center","2018-05-13T15:47:39Z","cnn"
"18","Spanish GP: Lewis Hamilton leads Mercedes one-two","2018-05-13T15:42:19Z","cnn"
"19","President Trump says he's working with China to save ZTE","2018-05-13T15:37:00Z","cnn"
"20","President Trump says he's working with China to save ZTE","2018-05-13T15:37:00Z","cnn"
"21","Waffle House hero James Shaw meets Parkland survivors","2018-05-13T15:27:11Z","cnn"
"22","Bernie Sanders calls separating parents and children at the border 'heartless'","2018-05-13T14:44:12Z","cnn"
"23","Bolton says 'it's possible' US will sanction European companies working with Iran - CNN","2018-05-13T14:21:00Z","cnn"
"24","Illegal drugs found at UK's Home Office, the department tasked with fighting illegal drugs","2018-05-13T14:18:09Z","cnn"
"25","Bernie Sanders: 'Beyond my comprehension' that White House won't apologize for McCain joke","2018-05-13T14:02:06Z","cnn"
"26","See Trump Mother's Day message","2018-05-13T14:00:23Z","cnn"
"27","Security adviser says North Korea has prospect to become 'a normal nation'","2018-05-13T13:34:46Z","cnn"
"28","A Mother's Day poem for the world's greatest mom(s)!","2018-05-13T12:33:38Z","cnn"
"29","At least 10 killed in suicide church bombings in Indonesia","2018-05-13T12:12:54Z","cnn"
"30","Trevor Noah: Trump reminds me of dictators","2018-05-13T11:56:20Z","cnn"
"31","For Amazon HQ2 hopefuls, Seattle serves as a cautionary tale","2018-05-13T11:18:56Z","cnn"
"32","Oil prices: How high before Wall Street freaks out?","2018-05-13T11:09:18Z","cnn"
"33","A dying mother's plea for her life","2018-05-13T11:07:44Z","cnn"
"34","Mother pleads with insurer to save her life - CNN Video","2018-05-13T11:06:20Z","cnn"
"35","Paris attacker who stabbed 5 was on police watch list, official says","2018-05-13T11:03:20Z","cnn"
"36","'SNL' cast members' moms critique political sketches","2018-05-13T10:31:23Z","cnn"
"37","Mother's Day founder regretted inventing the holiday","2018-05-13T09:59:29Z","cnn"
"38","New crack from Hawaii volcano is spewing lava near geothermal plant","2018-05-13T08:51:38Z","cnn"
"39","Harrie Smolders clinches first win of season in Hamburg","2018-05-13T08:41:58Z","cnn"
"40","CNN meteorologist explains what could happen in Hawaii","2018-05-13T07:46:45Z","cnn"
"41","NASA to send a chopper to Mars","2018-05-13T05:17:21Z","cnn"
"42","'SNL' cast members' moms critique the show's political sketches","2018-05-13T04:35:12Z","cnn"
"43","The unassuming building that exposes bitter Middle East divide","2018-05-13T04:02:40Z","cnn"
"44","China's push to modernize its military","2018-05-13T02:43:54Z","cnn"
"45","Prince Harry and Meghan Markle asked an American bishop to preach at their wedding","2018-05-13T02:20:10Z","cnn"
"46","Zakaria: Trump has proved Iran's hardliners right","2018-05-13T02:11:01Z","cnn"
"47","At least 2 killed in 3 church explosions in Indonesia","2018-05-13T02:06:33Z","cnn"
"48","China's first homegrown aircraft carrier heads out for sea trial","2018-05-13T01:59:36Z","cnn"
"49","Richard Feynman's 100th birthday is a celebration of science","2018-05-13T01:23:49Z","cnn"
"50","Yale student: I was told 'you don't belong here'","2018-05-13T00:34:33Z","cnn"
"51","Tesla executive joins self-driving car venture Waymo","2018-05-13T00:32:19Z","cnn"
"52","Jake Tapper: 'The very notion of empirical fact is being attacked and corroded'","2018-05-13T00:18:23Z","cnn"
"53","Buckingham Palace shares image of Queen's official consent for Prince Harry's marriage","2018-05-13T00:00:19Z","cnn"
"54","Trump: Senate should approve spending bill with wall, border money or skip August break","2018-05-12T23:52:13Z","cnn"
"55","Netta Barzilai of Israel wins Eurovision Song Contest","2018-05-12T23:42:09Z","cnn"
"56","Israel destroys Gaza tunnel, boosts troop numbers, ahead of expected protests","2018-05-12T23:30:15Z","cnn"
"57","Trump repeats misleading claim on Iran's military budget","2018-05-12T23:14:25Z","cnn"
"58","NRA sues New York Gov. Andrew Cuomo, accusing state of 'blacklisting' it","2018-05-12T23:04:23Z","cnn"
"59","He was called a 'guardian angel.' Then they discovered he was something else","2018-05-12T22:47:00Z","cnn"
"60","Former Trump campaign aide is helping Russian firm shed sanctions","2018-05-12T22:14:14Z","cnn"
"61","He wanted to graduate from college before he was 100. He just did it at 66.","2018-05-12T22:10:48Z","cnn"
"62","5 people stabbed in tourist area of Paris","2018-05-12T21:46:40Z","cnn"
"63","Trump records robocall for Lou Barletta's Pennsylvania Senate campaign","2018-05-12T20:26:52Z","cnn"
"64","2 'gravely injured' in Paris knife attack","2018-05-12T20:21:42Z","cnn"
"65","Beto O'Rourke told PACs to stay out of his race. They aren't listening","2018-05-12T19:55:36Z","cnn"
"66","Beto O'Rourke told PACs to stay out of his race. They aren't listening","2018-05-12T19:55:36Z","cnn"
"67","Sheldon Silver, former NY Assembly speaker, convicted for second time","2018-05-12T18:30:58Z","cnn"
"68","Out of the shadows: A mother’s struggle with mental illness","2018-05-12T18:12:42Z","cnn"
"69","Wisconsin Senate candidate says furor over comment about Democratic veterans is 'fake outrage'","2018-05-12T17:31:55Z","cnn"
"70","NASA astronaut receives honorary degree in space","2018-05-12T17:23:41Z","cnn"
"71","Mulvaney downplays WH aide's McCain remarks","2018-05-12T17:23:18Z","cnn"
"72","Tesla's chief of engineering is 'taking some time off'","2018-05-12T17:04:53Z","cnn"
"73","WH budget director says McCain joke 'awful' but not a fireable offense","2018-05-12T17:00:36Z","cnn"
"74","An astronaut aboard the International Space Station got a degree at Purdue's graduation","2018-05-12T16:22:13Z","cnn"
"75","Report: Giuliani says Trump blocked AT&T, Time Warner merger","2018-05-12T15:57:15Z","cnn"
"76","19 dead in Myanmar rebel attacks","2018-05-12T15:44:53Z","cnn"
